"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"66","In an awed state about how lucky we are to live in this advanced technological age. Yes, the internet can be a shit… https://t.co/9ncFPXq4g7",FALSE,18,NA,2018-12-10 19:52:37,TRUE,NA,"1072217542763184128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beckyfinlayson",1,FALSE,FALSE,NA,NA
"67","@hitRECord PS: more on the way, including a return to ""wanderer""... stay tuned ;o)",FALSE,1,"hitRECord",2018-12-10 19:49:59,FALSE,"1072198356502437891","1072216880461561857","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Beardo",0,FALSE,FALSE,NA,NA
"68","@hitRECord thank u guys ❤️",FALSE,0,"hitRECord",2018-12-10 19:44:42,FALSE,"1072198356502437891","1072215551555055617","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Beardo",0,FALSE,FALSE,NA,NA
"69","@hitRECord It was incredible to see and hear our work in this livestream. So proud to see how my monkey geoglyph wi… https://t.co/tYDykL2NtP",FALSE,2,"hitRECord",2018-12-10 19:20:25,TRUE,"1072177806732275712","1072209439476891650","24815314","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaulineSLF",0,FALSE,FALSE,NA,NA
"70","#askBGE this may be jumoing the gun a bit but will there be a release for the music of this game, not just orchestr… https://t.co/dapFMUp3MF",FALSE,0,NA,2018-12-10 18:48:36,TRUE,NA,"1072201431195766784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joanes13",0,FALSE,FALSE,NA,NA
"71","Beautiful https://t.co/NvyypqmZXk",FALSE,11,NA,2018-12-10 18:36:23,FALSE,NA,"1072198356502437891",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",1,FALSE,FALSE,NA,NA
"72","@Chrissy_fd @hitRECordJoe @jason_angelone Yup!",FALSE,0,"Chrissy_fd",2018-12-10 18:35:46,FALSE,"1072186026729320449","1072198202336538624","484895429","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",0,FALSE,FALSE,NA,NA
"73","@WerePan83 @ViciousVixxenV @hitRECordJoe Amazing!",FALSE,1,"WerePan83",2018-12-10 18:31:19,FALSE,"1071866286194483200","1072197080544829440","905096417038958592","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",0,FALSE,FALSE,NA,NA
"74","Lion leaves.. https://t.co/hCElxQZXgn https://t.co/mGbNbAyEtR",FALSE,407,NA,2018-12-10 18:16:02,FALSE,NA,"1072193234615627776",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",35,FALSE,FALSE,NA,NA
"75","I filmed my reaction to the #BGE2 livestream.
Holy holy holy holy SHIT WHAT 
You GUYS
THANK YOU!!!
AND CONGRATS ON… https://t.co/cn7TxigJAo",FALSE,10,NA,2018-12-10 18:12:15,TRUE,NA,"1072192281782951936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JayhanOfficial",0,FALSE,FALSE,NA,NA
"76","Damn... the more I see of @bgegame the more I need to get my hands on it. Amazing stuff the team is creating! 
And… https://t.co/s5AKX17hlj",FALSE,3,NA,2018-12-10 17:59:26,TRUE,NA,"1072189058414206978",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MauroDiogo",1,FALSE,FALSE,NA,NA
"77","@hitRECord @Dystopika This. ♥️",FALSE,1,"hitRECord",2018-12-10 17:51:40,FALSE,"1071880919185641472","1072187102148800512","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mridu2903",0,FALSE,FALSE,NA,NA
"78","@hitRECordJoe @jason_angelone I better get one then!! Plays in all regions? @hitRECord",FALSE,0,"hitRECordJoe",2018-12-10 17:47:23,FALSE,"1071919684939849728","1072186026729320449","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chrissy_fd",0,FALSE,FALSE,NA,NA
"79","""My body will grow into a tree of its own / I root myself to prove myself I've grown..."" 

@hitRECord 1st new Robo… https://t.co/wlyBB7Z6bp",FALSE,7,NA,2018-12-10 17:43:16,TRUE,NA,"1072184989071106050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sir_Beardo",1,FALSE,FALSE,NA,NA
"80","Ils en ont profité pour montrer une première intégration d'œuvre issue du partenariat avec HitRECord",FALSE,0,"Damodread",2018-12-10 17:37:51,FALSE,"1072183223810252800","1072183626308165634","350226191","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Damodread",0,FALSE,FALSE,NA,NA
"81","Live now! Especially cool is there will be a live gameplay demo, featuring some BGE2 x HITRECORD CONTRIBUTIONS. https://t.co/zEPmCd9Uk3",FALSE,10,NA,2018-12-10 17:14:43,FALSE,NA,"1072177806732275712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hitRECord",0,FALSE,FALSE,NA,NA
"82","#BGE2/Space Monkey/#hitRECord update soon!
See y'all there! 😆🤘💚💚💚
#Ubisoft #BGE #Livestream #PUMPED https://t.co/HUz0ERpH1F",FALSE,5,NA,2018-12-10 16:53:20,FALSE,NA,"1072172425205481472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayhanOfficial",0,FALSE,FALSE,NA,NA
"83","Feminism meets fairytale (in graphic novel form) — a few copies are left here: https://t.co/CNbgy0vJAN https://t.co/rzC7WJjd95",FALSE,114,NA,2018-12-10 15:08:04,FALSE,NA,"1072145933935280129",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",8,FALSE,FALSE,NA,NA
"84","https://t.co/vCCPBGj23u",FALSE,0,NA,2018-12-10 14:25:53,FALSE,NA,"1072135318160044033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","artsoi_k",0,FALSE,FALSE,NA,NA
"85","@kingofsilence17 @Ubisoft Not sure, they're gonna be showcasing some of the HitRecord stuff that made it into the game.",FALSE,1,"kingofsilence17",2018-12-10 14:14:19,FALSE,"1072131247785299969","1072132405388025861","845674632065810432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AbilityDrain",0,FALSE,FALSE,NA,NA
"86","@hitRECordJoe I know you mean to post to hitrecord site, but I’ll just be ‘that guy’.... Crater Lake, OR https://t.co/QTJIuZNhWY",FALSE,5,"hitRECordJoe",2018-12-10 13:22:35,FALSE,"1072118503614767104","1072119387992125441","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GrandmaPuncher",0,FALSE,FALSE,NA,NA
